nro_transaccion,tipo,origen,destino,fecha,hora,monto
352,deposito,465-65-0501,406-80-7867,07/01/2019,1:03 PM,6399.1
353,extraccion,140-89-2038,212-86-7981,07/11/2018,4:25 AM,3179.26
354,deposito,717-10-5784,674-38-9979,10/06/2017,6:39 PM,2577.78
355,transferencia,468-02-1989,841-59-5568,02/02/2017,4:07 PM,9688.46
356,transferencia,613-01-9645,453-14-1049,03/10/2019,5:48 PM,4257.73
357,extraccion,258-22-7860,809-13-1535,03/22/2019,12:45 PM,3799.87
358,deposito,762-51-4982,407-87-6766,12/30/2018,3:35 PM,6073.46
359,deposito,378-01-3871,622-16-3717,08/07/2019,12:13 AM,9326.3
360,extraccion,428-44-9576,276-53-9507,04/30/2018,1:20 PM,8675.12
361,extraccion,237-76-2107,626-14-4014,07/22/2018,5:36 PM,7168.49
362,transferencia,394-81-7105,530-70-9532,05/06/2017,4:50 AM,6857.42
363,deposito,152-53-1701,206-75-6740,05/08/2018,2:50 AM,1873.59
364,deposito,365-92-4119,704-41-2374,11/27/2018,2:05 PM,9769.84
365,extraccion,617-70-3613,750-31-4841,05/14/2018,4:55 AM,6435.69
366,deposito,795-58-9106,339-99-8246,03/27/2017,3:55 PM,5292.46
367,extraccion,589-35-5061,197-80-7443,02/11/2017,12:21 AM,5138.32
368,transferencia,146-15-8245,258-90-5525,12/18/2017,4:45 PM,1920.2
369,deposito,480-35-0021,535-06-8442,07/09/2018,10:43 AM,9425.64
370,transferencia,856-80-0751,876-17-8617,07/20/2018,8:53 PM,4275.11
371,deposito,265-70-4735,468-92-5396,05/02/2019,7:44 AM,6282.58
372,extraccion,601-40-7637,309-43-9355,12/27/2018,3:54 AM,5244.17
373,deposito,192-48-5983,731-57-1657,07/19/2018,9:25 PM,7444.13
374,deposito,488-43-2369,280-23-7169,09/23/2019,11:12 PM,9769.64
375,extraccion,441-49-6462,467-83-1260,10/07/2018,3:12 PM,1299.41
376,deposito,509-51-9870,406-07-5735,06/23/2018,11:13 PM,7810.43
377,transferencia,835-07-2928,736-69-9655,03/10/2018,5:30 AM,2045.21
378,deposito,182-88-4330,340-89-0637,11/08/2018,7:36 PM,9089.28
379,deposito,405-41-8050,884-43-6802,03/26/2019,2:32 AM,2497.73
380,transferencia,501-89-2761,749-14-6740,02/24/2017,6:32 AM,8218.64
381,deposito,472-37-5242,531-31-7406,02/09/2017,7:56 PM,3034.1
382,deposito,213-22-5837,443-54-1644,03/23/2017,4:32 PM,8498.33
383,extraccion,122-84-9920,614-99-0150,12/03/2018,4:00 PM,3025.48
384,deposito,601-30-1711,643-72-8034,11/23/2018,10:41 PM,1904.95
385,deposito,339-21-0592,858-96-7806,02/20/2018,12:17 PM,3147.27
386,transferencia,691-19-3692,648-46-5119,07/18/2018,10:03 PM,7013.51
387,transferencia,788-72-4819,551-05-5833,03/17/2017,12:50 PM,8637.24
388,deposito,156-83-5310,360-47-3980,04/06/2018,6:31 AM,4038.23
389,extraccion,262-93-9611,115-53-6378,06/23/2018,5:59 AM,9315.7
390,deposito,605-51-0487,763-92-8578,06/06/2018,9:21 PM,8759.07
391,deposito,541-70-4499,549-95-8982,11/09/2018,12:49 PM,3417.51
392,extraccion,160-16-1248,553-83-6999,08/30/2017,6:05 PM,1101.03
393,transferencia,311-01-3234,839-09-7875,10/17/2018,6:44 PM,2142.68
394,transferencia,683-02-6826,408-23-9559,02/15/2018,5:30 PM,5365.71
395,transferencia,544-49-1874,716-62-6044,11/07/2018,1:26 AM,9219.4
396,deposito,447-29-4570,352-28-4166,04/22/2018,4:54 AM,1280.06
397,deposito,889-63-8960,759-53-7578,02/06/2019,10:49 PM,1579.96
398,transferencia,849-60-9939,455-41-0105,06/14/2018,8:10 AM,9724.13
399,deposito,381-69-2688,144-81-1280,08/22/2019,2:45 AM,1041.44
400,deposito,223-59-0631,827-35-4435,05/12/2017,1:50 AM,6939.35
401,extraccion,327-73-0041,169-16-6027,06/14/2019,3:34 PM,7180.25
402,deposito,551-76-5704,336-08-2688,01/05/2018,3:36 AM,8824.57
403,transferencia,325-75-0673,503-35-6622,03/04/2017,10:52 AM,1760.28
404,extraccion,414-45-7326,324-31-2443,04/11/2018,3:45 AM,9655.64
405,extraccion,697-66-4402,552-88-1170,09/07/2017,9:08 AM,2149.8
406,transferencia,521-32-6970,806-36-7309,04/26/2019,3:01 AM,6694.29
407,deposito,440-45-4009,245-25-2160,09/12/2019,12:44 AM,8455.87
408,extraccion,204-15-6015,423-05-2237,02/27/2018,7:00 AM,3453.5
409,transferencia,321-66-1972,272-69-5665,11/29/2018,1:58 PM,9208.51
410,extraccion,807-61-2823,414-50-3867,10/30/2018,6:58 PM,2155.25
411,deposito,210-40-7023,769-85-8676,05/28/2018,2:12 PM,1426.72
412,transferencia,229-48-5019,879-58-0369,03/06/2018,5:54 AM,9256.59
413,deposito,251-27-7508,179-86-9818,08/07/2019,6:13 AM,6335.2
414,transferencia,473-85-3504,155-54-4181,06/08/2019,3:16 PM,3112.37
415,transferencia,638-80-6520,655-56-0643,01/06/2019,2:21 AM,1975.53
416,transferencia,384-68-7026,256-74-6031,06/30/2018,3:09 AM,7303.18
417,deposito,196-49-1050,121-76-7062,04/09/2018,7:22 PM,1044.85
418,deposito,616-72-4709,303-97-6564,04/18/2018,3:08 AM,1854.71
419,extraccion,330-97-0547,726-72-1800,04/12/2017,6:49 AM,2265.87
420,transferencia,152-32-6402,622-70-8664,08/28/2017,10:57 AM,2908.31
421,transferencia,512-64-8263,204-45-0756,08/09/2017,12:19 PM,4557.2
422,deposito,135-34-5349,744-22-7530,08/29/2019,12:16 AM,4454.15
423,extraccion,518-10-1378,508-67-8880,08/13/2019,11:47 AM,7736.52
424,transferencia,634-60-5279,225-21-1110,10/07/2018,10:16 PM,4159.06
425,extraccion,486-12-2639,798-77-7836,06/20/2019,1:15 PM,2644.28
426,extraccion,876-15-8855,347-32-2073,06/14/2019,9:17 AM,4557.94
427,deposito,164-39-6398,351-47-3866,05/22/2019,9:12 PM,1268.14
428,extraccion,795-27-2540,863-53-2577,02/10/2017,12:20 PM,9504.89
429,deposito,642-73-1134,428-57-5783,02/25/2019,3:16 PM,1716.49
430,extraccion,889-14-4385,367-50-1267,12/08/2018,11:39 PM,2739.3
431,deposito,369-33-1784,754-18-6831,05/14/2018,8:57 PM,3857.47
432,extraccion,696-44-3722,319-29-7964,06/24/2018,7:05 AM,9179.76
433,transferencia,370-60-7522,735-79-8623,09/03/2017,9:54 AM,6038.09
434,transferencia,577-80-3062,444-90-4628,07/08/2017,6:05 PM,8056.11
435,deposito,104-45-9128,671-83-5267,09/26/2018,3:28 AM,8659.62
436,deposito,311-01-7466,419-69-2658,12/09/2017,5:46 AM,1270.71
437,deposito,554-04-9759,186-40-0294,05/24/2017,2:59 PM,2565.91
438,transferencia,560-35-5781,598-14-7801,09/08/2018,2:43 AM,8164.4
439,deposito,780-50-8435,249-94-5813,06/28/2019,3:17 PM,4113.77
440,extraccion,818-59-8227,601-85-2685,05/02/2019,10:35 AM,2926.7
441,deposito,153-41-0136,303-13-7627,12/25/2017,6:03 AM,8410.44
442,deposito,674-89-1734,289-15-4139,08/22/2018,7:45 PM,3080.14
443,deposito,123-64-8264,652-69-3222,04/09/2018,2:55 PM,5762.52
444,deposito,693-22-8486,605-79-0714,02/15/2017,11:00 PM,6992.9
445,extraccion,706-72-6451,535-85-6958,01/30/2017,11:22 PM,4121.61
446,deposito,809-64-6797,211-23-5270,06/13/2018,1:44 AM,7649.96
447,deposito,238-88-7540,523-11-4459,10/05/2018,2:15 AM,1029.86
448,transferencia,240-11-4231,558-19-6957,07/28/2018,4:39 PM,7271.3
449,deposito,576-30-4060,876-21-0575,07/31/2019,1:35 AM,9678.28
450,deposito,473-02-6564,509-60-8803,11/04/2018,8:35 PM,9923.05
451,transferencia,492-64-3620,405-46-8113,07/30/2017,9:50 PM,3127.09
452,transferencia,724-24-5544,215-09-3682,10/04/2018,6:48 AM,4829.95
453,deposito,615-48-3732,631-45-0693,02/09/2019,11:06 PM,1586.8
454,extraccion,645-68-7431,246-12-9903,03/01/2017,7:38 PM,2066.16
455,deposito,158-09-7374,744-08-6727,05/28/2018,5:34 PM,9562.06
456,deposito,484-92-8362,517-62-8045,07/28/2019,3:23 AM,2724.22
457,extraccion,668-78-6825,296-58-7782,03/07/2019,4:56 PM,2518.05
458,transferencia,696-96-5832,231-45-0427,06/03/2018,8:28 PM,1928.76
459,extraccion,806-91-7654,150-92-1922,11/09/2018,4:40 AM,9889.68
460,transferencia,850-11-6745,826-97-9586,05/02/2017,6:46 PM,2340.59
461,deposito,672-18-1193,191-82-7936,03/08/2018,8:00 PM,6873.75
462,deposito,739-07-5830,223-75-1917,09/24/2017,10:40 PM,4841.11
463,extraccion,485-16-5571,122-16-6020,12/01/2017,8:45 AM,2370.96
464,extraccion,515-84-2111,405-08-5255,09/04/2017,4:24 PM,3081.04
465,extraccion,380-72-9639,597-95-2368,08/26/2019,4:00 PM,3953.37
466,transferencia,293-73-7854,446-78-4384,07/27/2017,10:04 PM,8889.79
467,deposito,231-79-6894,685-61-7493,02/12/2019,3:50 PM,5085.43
468,transferencia,340-77-9502,154-94-0467,03/10/2018,8:45 PM,4367.95
469,extraccion,291-47-8140,856-68-6573,05/05/2019,5:55 AM,7726.32
470,extraccion,698-27-9054,891-12-0275,06/28/2018,3:23 PM,5451.92
471,deposito,431-21-3232,230-22-9932,08/11/2017,12:49 AM,3806.49
472,deposito,259-93-4833,456-90-0447,03/06/2019,10:51 AM,6340.38
473,deposito,285-31-8651,260-15-2543,05/28/2019,6:56 PM,5208.92
474,extraccion,845-76-0785,818-27-6098,12/27/2018,5:48 AM,6885.47
475,transferencia,824-01-4065,694-68-2358,03/29/2018,3:51 PM,9278.69
476,deposito,814-82-9097,312-46-5071,06/19/2018,2:47 AM,3505.07
477,deposito,597-84-3462,862-96-9983,08/17/2017,12:31 PM,5993.53
478,deposito,614-71-7686,596-24-7057,11/20/2017,7:35 AM,8297.12
479,transferencia,800-70-5158,466-81-4445,02/17/2018,2:28 AM,2897.84
480,extraccion,620-07-5611,580-24-7517,07/29/2017,1:43 AM,8242.42
481,extraccion,214-42-6448,594-48-5370,09/26/2019,5:16 AM,8797.48
482,extraccion,694-81-7196,607-96-3868,12/01/2017,5:14 AM,3347.55
483,extraccion,548-05-2157,260-75-1087,09/11/2018,12:49 PM,7600.03
484,extraccion,145-02-8929,149-04-4477,11/08/2018,6:54 AM,1153.9
485,deposito,610-77-4127,502-37-2832,11/28/2018,10:36 PM,9284.07
486,extraccion,288-63-4482,237-03-8017,01/09/2019,2:17 AM,8640.27
487,deposito,491-46-3921,667-87-8900,10/08/2018,10:59 AM,9725.9
488,deposito,358-75-0481,581-31-5118,05/26/2018,3:49 PM,2756.75
489,transferencia,747-79-5682,860-84-5298,10/06/2018,3:13 AM,9853.49
490,extraccion,678-40-9350,241-66-8723,12/01/2018,10:49 AM,2599.67
491,transferencia,415-25-5903,585-70-5635,09/09/2019,1:49 PM,4001.05
492,transferencia,212-34-6224,284-42-8980,08/28/2019,1:51 AM,4492.27
493,transferencia,456-16-7620,209-69-1559,11/08/2017,11:51 PM,2798.08
494,deposito,791-64-8134,899-06-6061,06/25/2018,9:29 PM,9484.85
495,deposito,513-31-5630,393-51-9015,06/23/2018,5:04 AM,5756.55
496,extraccion,544-76-4713,888-85-7961,02/01/2017,1:42 AM,7783.89
497,extraccion,678-66-4250,540-98-5565,06/22/2019,9:20 AM,2719.82
498,extraccion,222-31-0282,303-80-5521,04/09/2018,5:26 PM,1118.9
499,transferencia,847-69-9271,729-21-7820,01/14/2019,6:22 AM,1294.25
500,extraccion,795-79-6436,732-63-4537,05/22/2017,3:31 AM,3016.92
501,extraccion,207-99-8208,560-67-1389,04/07/2019,12:00 PM,5435.2
502,transferencia,425-64-9986,611-25-0328,07/27/2019,3:06 AM,1145.97
503,deposito,852-85-9671,334-61-6648,10/25/2018,1:28 PM,7072.48
504,deposito,183-70-6570,354-34-4428,09/22/2019,5:52 PM,3437.36
505,extraccion,196-97-3165,248-06-6143,04/29/2017,12:14 AM,2582.32
506,extraccion,849-65-3254,834-95-6405,12/25/2018,7:46 PM,9910.61
507,deposito,308-03-9127,447-54-9648,05/03/2019,1:16 PM,7342.06
508,transferencia,737-56-0187,659-59-8203,07/20/2019,9:14 PM,9739.35
509,extraccion,577-21-2477,878-08-7586,11/03/2018,11:13 PM,9046.95
510,transferencia,525-34-5946,125-85-4876,05/30/2019,6:34 PM,5664.13
511,extraccion,152-87-9108,184-91-9554,11/17/2018,4:09 PM,9140.39
512,deposito,554-46-3872,240-86-6209,09/17/2017,5:04 AM,4860.63
513,deposito,821-96-1012,499-46-1505,05/22/2017,5:17 PM,1303.97
514,deposito,743-30-7585,160-23-8483,03/13/2019,3:11 PM,1748.19
515,extraccion,592-68-6196,554-39-1896,02/21/2019,12:49 AM,4395.74
516,transferencia,633-86-0675,785-47-6309,10/01/2019,2:07 PM,7731.16
517,deposito,337-78-1398,264-96-8736,11/26/2017,12:22 AM,6766.02
518,deposito,812-95-0373,760-70-5390,10/06/2018,5:52 AM,2612.95
519,transferencia,212-14-1027,567-95-4048,03/23/2018,9:20 AM,5187.17
520,deposito,785-83-7429,255-81-3542,05/04/2017,11:03 AM,6648.4
521,extraccion,591-56-7133,170-70-2431,07/11/2018,4:24 PM,4166.28
522,extraccion,354-61-1738,204-45-4396,01/23/2019,9:04 AM,6615.48
523,deposito,813-28-4663,754-32-8827,02/22/2018,12:52 AM,1626.43
524,deposito,563-76-2770,406-93-0472,07/12/2018,4:38 AM,6840.84
525,deposito,390-85-2068,131-97-6099,05/04/2018,11:22 AM,7319.14
526,extraccion,480-08-8313,686-56-0411,09/07/2018,8:52 PM,7435.6
527,deposito,245-26-1627,744-95-4962,02/21/2017,11:37 AM,3966.25
528,extraccion,571-97-2841,525-08-1510,03/08/2017,3:02 PM,9629.61
529,extraccion,171-25-3543,688-28-8580,03/28/2018,12:08 PM,1029.56
530,deposito,163-87-9213,860-53-0623,01/09/2018,8:09 PM,2092.62
531,transferencia,694-73-9845,847-77-6777,09/02/2019,7:28 PM,8796.29
532,deposito,864-09-1273,342-13-7283,05/09/2018,7:32 AM,7329.45
533,deposito,847-81-9014,685-70-9900,03/01/2017,9:17 PM,6923.51
534,deposito,543-57-6736,252-73-2083,03/25/2018,12:32 PM,9387.8
535,transferencia,126-85-4340,534-07-5508,03/04/2017,6:42 AM,8176.61
536,deposito,892-79-8736,281-50-1040,08/30/2017,9:41 PM,5491.54
537,deposito,887-32-4602,893-62-3096,05/24/2017,12:03 AM,3244.71
538,extraccion,683-51-3793,365-81-0592,10/02/2017,1:16 AM,2926.31
539,deposito,790-86-2337,127-89-2970,08/08/2019,6:42 PM,7197.98
540,deposito,166-94-7287,360-58-6813,09/27/2017,9:16 PM,8895.39
541,deposito,735-51-2842,674-39-9864,10/31/2018,2:43 AM,7453.1
542,transferencia,529-90-5720,627-19-5558,05/23/2017,5:46 AM,6011.36
543,extraccion,218-17-1166,773-58-4854,08/01/2017,5:15 AM,3315.71
544,transferencia,634-12-6371,558-57-6419,06/20/2018,11:44 AM,4657.91
545,transferencia,237-60-9046,408-44-5479,12/28/2018,6:22 PM,8003.04
546,transferencia,203-27-0189,736-12-8462,07/23/2018,10:42 AM,1536.14
547,deposito,394-81-7302,479-79-2316,05/27/2019,7:20 PM,1181.89
548,transferencia,470-76-3279,432-28-6892,08/21/2019,2:11 PM,9462.26
549,extraccion,852-46-3824,449-09-0217,02/16/2019,2:29 PM,1328.35
550,deposito,201-60-8132,442-16-9840,11/20/2018,10:50 PM,3045.28
551,deposito,240-53-0040,285-98-2893,12/23/2018,11:27 AM,1970.46
552,extraccion,579-92-6078,881-60-5746,11/18/2018,8:08 PM,8899.19
553,deposito,218-24-8741,233-09-5880,06/19/2018,5:18 PM,3182.4
554,extraccion,823-82-2559,671-81-5877,10/26/2018,12:31 AM,6085.43
555,transferencia,250-47-7046,716-92-2003,07/30/2018,6:00 AM,7179.81
556,deposito,275-67-0880,737-20-2038,01/17/2019,11:22 PM,7402.82
557,extraccion,860-08-6620,401-14-8892,04/15/2017,4:07 AM,5702.6
558,transferencia,705-13-2617,872-89-1918,03/18/2017,7:35 PM,5087.78
559,extraccion,542-11-3328,441-77-6997,04/26/2018,11:54 PM,5064.49
560,extraccion,400-44-0448,687-31-6525,12/25/2017,8:30 PM,4506.18
561,deposito,560-14-9698,878-47-0184,09/12/2019,9:31 AM,4362.44
562,extraccion,454-80-2248,436-59-3865,04/03/2017,8:10 PM,3119.28
563,transferencia,312-78-9832,113-92-8096,04/16/2017,9:38 AM,5244.06
564,extraccion,522-68-8740,449-91-0491,03/09/2019,12:47 AM,1011.98
565,deposito,850-17-7352,173-44-4825,04/28/2018,11:01 AM,8816.35
566,transferencia,578-77-0796,341-69-2878,04/27/2018,9:51 PM,9250.48
567,transferencia,408-65-9073,116-95-8335,06/29/2019,9:11 AM,9202.37
568,transferencia,676-73-6127,859-99-4159,04/01/2019,2:36 PM,4446.64
569,deposito,211-24-1412,263-69-8851,12/08/2018,2:09 PM,6724.38
570,extraccion,646-82-7419,501-19-2939,09/16/2017,5:29 PM,6962.98
571,deposito,681-96-7239,489-44-2523,08/22/2018,4:30 PM,3208.24
572,extraccion,198-97-0810,607-89-1197,01/23/2019,2:54 PM,1583.69
573,transferencia,262-56-5740,278-53-9287,07/24/2019,7:54 PM,6595.16
574,deposito,118-91-1755,790-08-9105,02/08/2018,9:15 AM,3375.34
575,extraccion,795-67-6176,286-47-5790,10/04/2018,4:47 AM,4113.69
576,extraccion,494-09-8580,382-84-9665,08/11/2019,8:28 PM,4073.46
577,transferencia,206-51-1591,389-33-8305,08/28/2019,1:36 AM,6184.85
578,extraccion,702-11-1485,569-46-3597,09/14/2017,1:42 AM,1063.33
579,deposito,472-57-0485,361-88-9555,05/12/2018,1:41 PM,6150.38
580,transferencia,434-87-9560,781-03-2056,01/18/2018,9:58 AM,7078.21
581,transferencia,389-47-2002,834-98-9259,01/22/2018,3:15 PM,8833.5
582,extraccion,255-04-3444,863-46-2984,08/13/2019,6:22 PM,1834.89
583,transferencia,288-72-1865,502-75-4625,12/07/2017,3:00 PM,7454.35
584,deposito,101-35-0609,532-81-7493,10/25/2017,8:51 PM,5884.38
585,extraccion,778-37-7935,865-52-7360,06/12/2019,3:15 PM,1113.55
586,transferencia,345-02-0586,610-15-3770,05/17/2018,11:21 AM,9677.01
587,extraccion,659-78-2805,577-01-7417,02/19/2017,7:18 AM,5205.6
588,transferencia,356-65-7934,368-43-4947,06/03/2019,1:35 PM,6732.44
589,transferencia,767-47-7473,833-70-8892,04/29/2018,2:25 AM,9961.33
590,deposito,293-25-6946,297-83-9570,03/11/2019,7:41 AM,9110.45
591,transferencia,298-39-1885,559-45-3097,10/03/2018,2:35 AM,4171.68
592,transferencia,863-22-8954,130-34-1474,05/02/2017,11:09 PM,6030.86
593,transferencia,261-91-4799,231-57-6014,09/25/2019,12:06 PM,1196.91
594,extraccion,798-08-2396,472-64-0626,08/07/2018,1:14 PM,5945.81
595,transferencia,285-47-6110,228-31-6689,12/28/2017,7:50 AM,2247.51
596,deposito,519-10-4792,809-55-9940,04/10/2018,3:30 AM,3224.5
597,transferencia,814-29-4858,674-87-5042,06/21/2018,11:19 AM,8791.49
598,deposito,756-44-5067,215-63-3885,09/17/2018,7:57 AM,2158.28
599,transferencia,775-52-2970,620-81-1409,05/31/2019,7:52 PM,3269.7
600,extraccion,673-68-8282,712-77-6802,04/03/2018,9:31 AM,6627.34
601,transferencia,616-89-8356,121-03-0375,10/22/2018,8:09 AM,4692.08
602,transferencia,385-42-1185,488-44-7736,10/14/2018,3:00 PM,7200.41
603,extraccion,703-78-1994,609-88-9913,10/19/2018,6:03 PM,6013.33
604,deposito,753-07-2753,448-62-2784,10/19/2018,2:14 AM,9054.43
605,extraccion,234-07-3520,454-06-3226,07/17/2017,10:15 AM,1783.69
606,extraccion,757-41-0562,225-42-8881,09/22/2017,2:54 PM,8465.67
607,extraccion,793-05-3972,616-88-3549,04/05/2018,11:36 PM,8875.69
608,transferencia,592-18-2607,598-95-5291,09/04/2019,6:27 AM,3950.77
609,deposito,575-80-2377,108-76-8958,06/01/2017,6:13 PM,3686.34
610,deposito,809-22-5947,556-75-6728,04/13/2017,3:38 AM,6675.37
611,extraccion,815-66-2942,514-71-9403,05/03/2018,8:09 AM,7414.1
612,transferencia,411-42-5321,246-34-4954,03/05/2019,8:51 AM,5542.42
613,deposito,417-52-8862,561-58-2117,07/29/2018,1:56 PM,3396.42
614,deposito,730-93-4014,536-42-9843,09/15/2018,6:54 AM,1820.58
615,deposito,543-34-4553,402-52-6486,08/13/2017,2:30 AM,7162.83
616,transferencia,711-70-1150,753-29-4479,05/19/2019,1:08 AM,9796.22
617,transferencia,524-65-1530,327-78-4848,06/13/2019,11:28 PM,6607.13
618,deposito,177-56-0278,331-15-2124,10/25/2017,4:43 PM,6365.79
619,extraccion,307-14-3551,624-28-7476,11/30/2017,3:35 PM,4519.0
620,deposito,688-48-4311,765-91-5838,01/24/2018,6:02 AM,4650.52
621,deposito,488-80-8270,709-06-2964,07/06/2019,10:40 PM,1346.26
622,deposito,248-80-6803,650-31-9952,03/03/2017,10:44 AM,9414.49
623,transferencia,895-62-0104,362-45-2435,05/21/2017,4:30 PM,9694.15
624,extraccion,267-18-6394,688-06-5767,08/07/2017,9:59 AM,3601.61
625,transferencia,277-69-5924,351-74-5677,01/11/2018,11:54 AM,6273.94
626,extraccion,872-32-3341,768-71-4308,08/01/2018,8:21 AM,7516.81
627,deposito,402-47-8268,283-96-5778,04/11/2019,4:47 AM,4197.26
628,transferencia,187-44-3581,110-37-8092,07/31/2019,6:16 PM,6742.57
629,extraccion,403-72-3876,135-68-2148,08/02/2018,6:25 PM,2968.82
630,extraccion,798-49-4190,647-24-1896,08/30/2017,4:04 AM,6641.82
631,transferencia,393-15-7141,222-79-4101,05/04/2019,8:01 PM,6309.94
632,transferencia,160-07-3087,888-56-9836,06/21/2019,6:14 PM,5934.76
633,deposito,673-40-0573,829-21-6413,11/15/2017,3:01 AM,6571.91
634,deposito,179-61-2843,235-39-9382,08/01/2019,11:26 PM,4703.02
635,deposito,840-70-5641,164-69-2954,01/12/2018,2:53 AM,1193.13
636,deposito,212-94-5406,531-07-3951,09/01/2017,8:44 AM,2814.57
637,deposito,879-79-6146,101-96-6524,05/01/2018,1:23 PM,4537.54
638,deposito,520-71-6099,219-55-8221,01/30/2017,7:10 PM,4125.47
639,transferencia,239-58-5114,891-85-3240,05/11/2017,5:01 AM,3778.71
640,transferencia,503-57-2081,524-07-9620,10/21/2018,3:34 AM,6699.01
641,deposito,388-91-0640,506-82-1681,01/20/2018,5:30 AM,7879.88
642,transferencia,537-87-9065,807-33-2492,09/24/2017,7:05 PM,4173.13
643,extraccion,620-45-6948,745-58-9080,12/22/2017,2:35 AM,6692.71
644,deposito,672-68-6796,124-35-7506,05/13/2019,6:46 PM,9972.25
645,deposito,294-53-9487,786-60-0649,12/17/2017,9:37 PM,2779.7
646,transferencia,401-63-2086,408-08-6257,03/29/2017,7:06 PM,6313.43
647,extraccion,419-31-9068,612-54-9732,07/07/2018,10:59 PM,3928.32
648,transferencia,546-03-3344,558-02-7417,07/13/2018,9:01 PM,6783.78
649,transferencia,229-57-4031,387-84-5914,04/23/2018,1:58 AM,3781.74
650,deposito,134-96-6419,277-20-0189,05/13/2019,7:08 PM,9500.19
651,deposito,781-37-8353,123-01-8249,08/20/2019,3:43 AM,9218.91
652,transferencia,358-86-9800,847-60-8782,08/01/2017,2:51 AM,5691.83
653,deposito,457-11-7830,240-20-1674,04/26/2019,5:51 AM,1656.15
654,extraccion,803-04-6749,544-26-2149,12/02/2017,10:18 AM,2587.95
655,transferencia,663-92-4793,815-05-0952,05/13/2019,5:46 AM,2260.14
656,transferencia,397-22-2607,723-09-6896,03/31/2018,4:31 AM,6247.69
657,extraccion,574-86-4927,424-71-4427,05/01/2019,11:48 PM,5748.13
658,transferencia,760-67-1217,413-57-0621,12/07/2018,10:24 PM,5301.21
659,transferencia,423-26-6368,894-59-3041,08/05/2019,1:12 PM,7518.16
660,extraccion,401-64-6331,187-92-7553,03/24/2019,3:00 PM,5740.2
661,extraccion,173-14-4041,202-50-1111,07/08/2018,5:52 AM,7065.62
662,deposito,423-34-9807,331-59-0112,09/08/2019,12:54 AM,4289.69
663,transferencia,634-79-7829,176-28-4036,10/16/2018,1:33 PM,4959.71
664,transferencia,346-61-2907,536-46-7303,04/27/2017,12:03 AM,5951.17
665,extraccion,756-26-5695,251-52-9582,11/22/2017,5:16 AM,4966.44
666,extraccion,780-34-9790,714-78-4294,07/22/2019,11:24 AM,1726.1
667,deposito,212-75-3739,291-39-4197,06/11/2019,5:57 PM,1120.55
668,deposito,458-78-8390,147-34-7258,04/10/2018,8:45 AM,7643.18
669,deposito,746-16-0896,769-68-2616,05/13/2017,1:48 AM,9258.42
670,deposito,558-82-4243,105-32-8519,03/15/2019,3:15 PM,5234.81
671,transferencia,502-86-2291,645-02-8178,12/19/2017,7:14 PM,3203.52
672,transferencia,556-63-2599,120-89-7596,05/08/2019,7:06 PM,6330.48
673,transferencia,439-47-5319,629-44-7809,12/20/2017,4:03 PM,2373.03
674,transferencia,859-14-9626,203-50-6947,06/29/2017,12:31 AM,9300.97
675,deposito,306-87-0327,588-57-8244,09/29/2017,6:01 AM,7276.7
676,transferencia,348-96-8372,558-65-5321,01/29/2019,11:45 PM,1271.73
677,extraccion,417-59-5167,262-02-4141,05/27/2019,7:34 PM,5871.98
678,extraccion,654-73-8165,500-09-1356,04/02/2018,6:20 PM,9271.1
679,transferencia,514-85-2277,726-33-5313,04/30/2017,7:37 AM,2076.84
680,extraccion,572-28-5051,739-24-1041,02/27/2017,6:32 PM,7507.36
681,deposito,493-64-6871,545-35-6885,01/25/2018,6:12 AM,2909.46
682,extraccion,111-37-1125,346-11-1585,01/03/2019,12:26 PM,3941.7
683,deposito,671-59-5281,356-15-4004,06/08/2019,10:22 PM,3270.55
684,transferencia,587-45-0319,140-08-5873,03/27/2018,12:36 AM,2562.28
685,extraccion,372-79-1229,857-32-8873,07/19/2019,2:31 AM,6479.86
686,deposito,345-80-9798,127-47-4176,05/04/2018,2:16 PM,8046.22
687,deposito,781-61-4251,451-78-1775,04/17/2019,4:46 AM,1841.8
688,transferencia,407-08-1108,754-44-0392,11/11/2017,10:12 PM,3558.05
689,extraccion,266-23-9028,672-67-7895,02/06/2019,11:49 AM,4700.5
690,transferencia,362-79-2639,570-50-5348,11/06/2017,2:19 PM,7016.8
691,deposito,294-87-3238,752-19-2491,08/23/2019,4:56 AM,4820.09
692,extraccion,871-39-9680,295-84-0208,08/10/2017,6:07 AM,8343.67
693,transferencia,250-45-8699,197-85-6927,01/25/2019,5:32 AM,2728.16
694,deposito,230-76-3572,356-73-1282,05/30/2018,1:33 PM,6736.98
695,extraccion,823-80-5422,330-21-9230,05/10/2018,4:28 PM,8022.47
696,deposito,860-93-6947,281-81-6527,06/08/2019,7:03 AM,8253.91
697,deposito,814-84-1678,515-47-9650,02/21/2018,1:03 PM,5529.3
698,deposito,232-46-8883,675-22-3461,11/04/2018,3:13 AM,5977.34
699,deposito,553-13-4547,667-36-4737,01/14/2018,10:24 AM,5531.17
700,deposito,863-72-1648,784-80-8961,05/27/2019,7:45 AM,7983.74
701,transferencia,361-07-6600,207-51-8555,01/29/2017,7:04 PM,7036.15
702,transferencia,425-98-0327,790-52-7223,04/07/2018,6:41 PM,1671.56
703,transferencia,286-97-9768,838-68-7695,10/19/2018,9:09 AM,2799.62
